 Borat Make a Number 2,10,186,285,MissCzarChasm,29 October 2020,Borat Make a *Glorious* #2! Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan is very naiiice!America Mayor Rudolph Giuliani say he not like film.America Mayor Rudolph Giuliani say he very much LIE
down to fix pants like in nation of Kazakhstan where we not stand up to tuck the shirt. Much success.You watch.Chin qui,https://www.imdb.com/review/rw6217081/?ref_=tt_urv
 Laugh Out Loud Funny S#!^!,10,151,233,YourSonsDad,28 October 2020,What's even funnier than the movie itself; is seeing people cry about it. I mean; damn; Cohen just exposes the stuff; he doesn't make them say or do what they say and do. If you're mad at anyone; be mad at the buffoons caught on tape. Or on second thought; keep being mad here; cause its hella hilarious.Great movie. Had richer; deeper laughs than the first; though not as many. Plus; it's on Amazon; so you can basically watch it for what you already pay or get yourself a free trial.Great s#!^!,https://www.imdb.com/review/rw6213611/?ref_=tt_urv
 Excellent. And this is from a non Sasha Cohen Baron fan. REAL REVIEW.,10,129,199,lvanka,30 October 2020,My husband loved SCB in all his incarnations (Ali G.; Borat; Bruno; and that guy from Who is America). He'd quote parts of Bruno ("But first; more dancing with Bruno!") as he'd dance around me in the kitchen. He'd quote parts of an interview SCB did with Dick Cheney; as I rolled my eyes. Every couple of years or so; he'd put on Bruno or Borat; and laugh; and laugh; while I just shook my head. In short; he reverted from a mature 35 year old man; into a a teen; because of this one comedian. I kind of hated it and really didn't see the appeal of Cohen's comedy which I found crude and sometimes downright offensive (i.e.; "In my country; they would go crazy for these two. That one; not so much."). Until this Borat 2020 film; that is.Knowing he was such a fan; the evening of the day the film came out; I grilled him a porterhouse steak in bourbon and pecans; with a baked potato smothered in broccoli and cheese sauce; and relegated myself to sit through this new Borat without looking too bored or condescending.Two things happened.One; my husband; laughed several times; of course; but he did so less heartily than he had at most of SCB's prior work; and he never rewinded it to re-watch an especially funny part.Two; I loved it.This Borat film is hilarious!!! And not only is it both; in your face; and subtly hilarious; but it has sooo much heart; it nearly brought me to tears. Even the infinitely ill-informed guys he quarantined with; made me want to go out and hug a redneck.So; if you're here wondering whether you should watch it (although I don't think that's what anyone does anymore); I suggest you do so. The worst that can happen is that you'll laugh. Since when is that a bad thing? The best that can happen is that you'll laugh and cry at seeing the United States in such a dire and chaotic state; and so far from united; that you will walk away with a desire to one day make it united; as the greatest gift ever to ourselves and our kids.,https://www.imdb.com/review/rw6219436/?ref_=tt_urv
 Cohen is a genius,10,205,325,WindsOfWintergreen,27 October 2020,For those saying Giuliani was just tucking in his shirt; why lay down on a bed to do so instead of STANDING UP? And that; folks; is part of the genius of this film: that is shows you; live on video what's going on; and lets those who want to continue to lie to themselves; to continue to do so; while being laughed at by others. Don't miss it.,https://www.imdb.com/review/rw6210276/?ref_=tt_urv
 The 10's are 10's & The 1's are 10's!,10,181,294,AnaAnaBanana,27 October 2020,Nothing more needs to be said than: LOOK at the 1 ratings and the vehemence (and bad English) with which they try to dissuade you from watching Borat 2! You KNOW it has to be good.WATCH it.,https://www.imdb.com/review/rw6211296/?ref_=tt_urv
 He's back,9,408,714,cartsghammond,23 October 2020,Borat is back; with this subsequent moviefilm.
This will be compared to the original to no end; but with borat being a cultural icon in America; this one was bound to be very different.I loved this film; it made me topple with laughter multiple times. The accomplishment of making this within a pandemic is also a massive achievement.
Do I think this is better then the first one? No.
Do I think this is a hilarious movie? Absolutely.This one seems a lot more planned narratively and has a lot more scripted scenes; not bad things at all.
The girl playing borat's daughter was also great.Very nice!,https://www.imdb.com/review/rw6197576/?ref_=tt_urv
 A Must-Watch!,10,176,300,Her-Excellency,27 October 2020,The Giuliani portion alone; makes this a must-watch. Can this administration get any CREEPIER? Why yes; it can!Speaking of .... the Fertility Dance; alone; is yet another reason to watch. It is not for the feint of heart; but it is like nothing (hopefully); you've ever seen before; or (hopefully); that you will ever see again.The rest is just icing ... and cake ... and a cherry. Maria Bakalova is ridiculously ADORABLE. Jeanise Jones is all heart.STOP CRYING; you insipid detractors! Relax just a little and LAUGH!,https://www.imdb.com/review/rw6209636/?ref_=tt_urv
